name,lat,lon,住所,URL,備考
牛川校区市民館,34.77975844,137.4166017,愛知県豊橋市牛川町字中郷13-28
牛川小学校（グラウンド）,34.78052864,137.4169386,愛知県豊橋市牛川町字中郷6-1
牛川小学校,34.780457,137.416563,愛知県豊橋市牛川町字中郷6-1
南郷公園,34.77985888,137.421743,愛知県豊橋市牛川通3
牛川東郷公園,34.78272599,137.4234295,愛知県豊橋市牛川通5
神明公園,34.7651624,137.390596,愛知県豊橋市魚町
中野小学校,34.74094063,137.3788032,愛知県豊橋市橋良町字向山6-4
中野小学校（グランド）,34.74048365,137.3789265,愛知県豊橋市橋良町字向山6-4
中野校区市民館,34.740916,137.378052,愛知県豊橋市橋良町字向山61-2
福岡校区市民館,34.74248,137.382579,愛知県豊橋市橋良町字東中山3-2
福岡小学校,34.741877,137.381901,愛知県豊橋市橋良町字平野1-1
福岡小学校（グラウンド）,34.74116836,137.3813978,愛知県豊橋市橋良町字平野1-1
磯辺校区市民館,34.72815459,137.3663418,愛知県豊橋市駒形町字丸山60
磯辺校区市民館（２階）,34.72821186,137.3663414,愛知県豊橋市駒形町字丸山60
磯辺小学校（校舎３階廊下）,34.72834446,137.3674621,愛知県豊橋市駒形町字丸山61
磯辺小学校,34.72834446,137.3673173,愛知県豊橋市駒形町字丸山61
磯辺小学校（グラウンド）,34.72803731,137.3667487,愛知県豊橋市駒形町字丸山61
南陽中学校,34.73298203,137.3644549,愛知県豊橋市駒形町字南欠下1-1
南陽中学校（グラウンド）,34.73290415,137.3653401,愛知県豊橋市駒形町字南欠下1-1
南陽中学校（校舎３・４階廊下）,34.73315397,137.3640043,愛知県豊橋市駒形町字南欠下1-1
豊橋中央高等学校,34.75119349,137.3916325,愛知県豊橋市鍵田町106
豊橋中央高等学校（グラウンド）,34.75188548,137.392253,愛知県豊橋市鍵田町106
ラヴィエ・セレナード（３階以上廊下等）,34.76979375,137.3760199,愛知県豊橋市菰口町3-37
杉浦マンション（３階廊下等）,34.76896495,137.372398,愛知県豊橋市菰口町4-1-1
吾妻公園,34.76377604,137.4152315,愛知県豊橋市吾妻町
向山西町公園,34.76093211,137.4025051,愛知県豊橋市向山西町
向山小学校,34.75939195,137.4041726,愛知県豊橋市向山西町5-1
向山小学校（グラウンド）,34.75912311,137.4038614,愛知県豊橋市向山西町5-1
